id,title,company,location,salary_min,salary_max
1993882092,Data Analyst,SveltetechTechnologies Pvt Ltd,"Delhi, India",0.0,300000.0
4514376622,Data Analyst,Qrata,"Delhi, India",1000000.0,1200000.0
4514376189,Data Analyst,Qrata,"Delhi, India",800000.0,1300000.0
4966721625,Data Analyst,Fatakpay,India,800000.0,1500000.0
1171509680,Data Analyst,Malaysian Global Innovation and Creativity Centre,India,500000.0,1000000.0
1712428599,Data Analyst,Namaste Credit,"Bangalore, Karnataka",500000.0,1000000.0
2500155500,Data Analyst,Reality Premedia Services Pvt Ltd,"Pune, Maharashtra",0.0,800000.0
4993547435,Data Analyst,RegisterKaro,India,400000.0,1000000.0
2247134476,Data Analyst,Indium Software,India,250000.0,800000.0
5336689191,Data Analyst,EWU,"Coimbatore, Tamil Nadu",400000.0,700000.0
5801030174,Data Analyst,Vikash Technologies,"Delhi, India",1500000.0,1900000.0
4855397054,data analyst,Epik Solutions,India,50000.0,700000.0
2853927974,Data Analyst,Multi Recruit,"Bangalore, Karnataka",1200000.0,1400000.0
2433361449,Data Analyst,MSMEx,"Mumbai, Maharashtra",0.0,1200000.0
2449398766,Data Analyst,Syrencloud,"Hyderabad, Telangana",0.0,800000.0
2890608757,Data Analyst,Fragma Data Systems,India,600000.0,800000.0
4715697356,Data analyst,Sadup Softech,"Bangalore, Karnataka",1200000.0,1500000.0
5800765376,Data Analyst,Jetking Technologies Private Limited,"Noida, Ghaziabad",20000.0,25000.0
2403881225,Data Analyst,Multi Recruit,"Bangalore, Karnataka",500000.0,1500000.0
5549594782,Data Analyst,Highfly Sourcing,India,1500000.0,2500000.0
5602825903,Data Analyst,Hunarstreet Technologies Pvt Ltd,"Vadodara, Gujarat",600000.0,800000.0
4344578568,Data Analyst,Jobdost,"Bangalore, Karnataka",0.0,500000.0
5592093935,Data Analyst,Hunarstreet Technologies Pvt Ltd,"Gujarat, India",60000.0,700000.0
3337906172,Data Analyst,Mr n Mrs Pet,"Jaipur, Rajasthan",100000.0,300000.0
1762829126,Data Analyst,Awign,"Bangalore, Karnataka",400000.0,700000.0
4992020344,Data Analyst,Appitsimple infotek Pvt. Ltd.,India,100000.0,300000.0
4514376058,Data Analyst,Qrata,"Mumbai, Maharashtra",500000.0,1000000.0
2572832371,Data Analyst,BitClass,"Bangalore, Karnataka",0.0,1600000.0
2635526340,Data Analyst,Amazon,"Bangalore, Karnataka",0.0,800000.0
2853928118,Data Analyst,Extramarks,"Noida, Ghaziabad",0.0,1000000.0
5379021882,Data Analyst,ICAD school of Learning,"Nagpur, Maharashtra",500000.0,800000.0
4988851694,Data Analyst,Clinton Health Access Initiative,"Bhopal, Madhya Pradesh",300000.0,400000.0
2830210357,Data Analyst,Amagi Media Labs,"Bangalore, Karnataka",1000000.0,2000000.0
2830210287,Data Analyst,Amagi Media Labs,"Bangalore, Karnataka",1000000.0,1400000.0
5590143347,Data Analyst,Hudson Data,India,900000.0,1200000.0
1186076365,Data Analyst,The Smart Cube,"Noida, Ghaziabad",200000.0,500000.0
2953661450,Data Analyst,Falcon Autotech,"Noida, Ghaziabad",400000.0,700000.0
2177266370,Data Analyst,Marktine,"Bangalore, Karnataka",0.0,1500000.0
5607196899,Data Analyst,QAgile Services,India,300000.0,500000.0
